url,category,title,source_domain,URL,Title,Category,Source_Domain,Snippet,Category_Guess,Score,Publish_Date,Status,RepFlag,has_CVE,has_TID,has_IOC,has_MiningTok,has_NFSTok,has_SSHTok,SigFlag,Quality2,Quality4
https://www.zdnet.com/article/shokzs-openfit-pro-earbuds-review/,unspecified,Shokz just gave me a compelling reason to ditch my AirPods for good - and I didn't see it coming,www.zdnet.com,https://www.zdnet.com/article/shokzs-openfit-pro-earbuds-review/,Shokz just gave me a compelling reason to ditch my AirPods for good - and I didn't see it coming,unspecified,www.zdnet.com,,,,,,1,0,0,0,0,0,0,0,1,1
https://go.theregister.com/feed/www.theregister.com/2026/01/23/critical_vmware_vcenter_server_bug/,unspecified,Patch or die: VMware vCenter Server bug fixed in 2024 under attack today,www.theregister.com,https://go.theregister.com/feed/www.theregister.com/2026/01/23/critical_vmware_vcenter_server_bug/,Patch or die: VMware vCenter Server bug fixed in 2024 under attack today,unspecified,www.theregister.com,,,,,,0,0,0,0,0,0,0,0,0,0
https://jfrog.com/blog/forrester-consulting-tei-study-jfrog-security/,unspecified,The 282% ROI of Unified Security,jfrog.com,https://jfrog.com/blog/forrester-consulting-tei-study-jfrog-security/,The 282% ROI of Unified Security,unspecified,jfrog.com,,,,,,0,0,0,0,0,0,0,0,0,0
https://go.theregister.com/feed/www.theregister.com/2026/01/21/curl_ends_bug_bounty/,unspecified,Curl shutters bug bounty program to remove incentive for submitting AI slop,www.theregister.com,https://go.theregister.com/feed/www.theregister.com/2026/01/21/curl_ends_bug_bounty/,Curl shutters bug bounty program to remove incentive for submitting AI slop,unspecified,www.theregister.com,,,,,,0,0,0,1,0,0,0,1,1,1
https://github.blog/security/ai-supported-vulnerability-triage-with-the-github-security-lab-taskflow-agent/,unspecified,AI-supported vulnerability triage with the GitHub Security Lab Taskflow Agent,github.blog,https://github.blog/security/ai-supported-vulnerability-triage-with-the-github-security-lab-taskflow-agent/,AI-supported vulnerability triage with the GitHub Security Lab Taskflow Agent,unspecified,github.blog,,,,,,0,0,0,0,0,0,0,0,0,0
https://github.blog/ai-and-ml/generative-ai/what-ai-is-actually-good-for-according-to-developers/,unspecified,"What AI is actually good for, according to developers",github.blog,https://github.blog/ai-and-ml/generative-ai/what-ai-is-actually-good-for-according-to-developers/,"What AI is actually good for, according to developers",unspecified,github.blog,,,,,,0,0,0,0,0,0,0,0,0,0
https://snyk.io/blog/shai-hulud-post-mortem/,unspecified,Beyond Detection: Building a Resilient Software Supply Chain (Lessons from the Shai-Hulud Post-Mortem),snyk.io,https://snyk.io/blog/shai-hulud-post-mortem/,Beyond Detection: Building a Resilient Software Supply Chain (Lessons from the Shai-Hulud Post-Mortem),unspecified,snyk.io,,,,,,0,0,0,0,0,0,0,0,0,0
https://blog.talosintelligence.com/how-cisco-talos-powers-the-solutions-protecting-your-organization/,unspecified,How Cisco Talos powers the solutions protecting your organization,blog.talosintelligence.com,https://blog.talosintelligence.com/how-cisco-talos-powers-the-solutions-protecting-your-organization/,How Cisco Talos powers the solutions protecting your organization,unspecified,blog.talosintelligence.com,,,,,,1,0,0,0,0,0,0,0,1,1
https://jfrog.com/blog/beyond-the-hype-building-a-future-proof-foundation-for-the-ai-native-enterprise/,unspecified,Beyond the Hype: Building a Future-Proof Foundation for the AI-Native Enterprise,jfrog.com,https://jfrog.com/blog/beyond-the-hype-building-a-future-proof-foundation-for-the-ai-native-enterprise/,Beyond the Hype: Building a Future-Proof Foundation for the AI-Native Enterprise,unspecified,jfrog.com,,,,,,0,0,0,0,0,0,0,0,0,0
https://jfrog.com/blog/why-enterprise-and-fortune-500-companies-are-leaving-snyk-and-checkmarx-for-jfrog/,unspecified,Why Enterprise and Fortune 500 Companies are Leaving Snyk and Checkmarx for JFrog,jfrog.com,https://jfrog.com/blog/why-enterprise-and-fortune-500-companies-are-leaving-snyk-and-checkmarx-for-jfrog/,Why Enterprise and Fortune 500 Companies are Leaving Snyk and Checkmarx for JFrog,unspecified,jfrog.com,,,,,,0,0,0,0,0,0,0,0,0,0
